BirdID,Date,StndBody.mass,animal,FieldPeriodID,PeriodYear,PeriodStart,PeriodEnd,Observer,Weather,Novel.environment.score,ReleaseMethod,CatchID,ExplorationBranchOrientation,TentColour,TentTerritoryID,Wind,SexEstimate,BirthDate,BirthFieldPeriodID,BirthPeriodYear,BodyMass,Ageclass,CatchTime,Status,Time.between.tests,Social.status,TentPoles,BranchHeight,Start.of.year,Start.of.June,Season.yr.start,Season.june.start,Season,Days.into.season,mum,Ageclass2,Age_days,Testno,Age,Age_sq,Age2
1852,10/07/2010,-0.351067889,1852,104,2010,30/06/2010,10/09/2010,SP,P,42,H,7036,D,B,2,NA,F,20/08/2003,30,2003,14.5,A,00/01/1900,BrF,0,Primary,0,0,01/01/2010,01/06/2010,190,39,39.1,39,1247,4,2516,1,0.686170028,6330256,0.487453269
1864,13/02/2012,-0.302527413,1864,112,2012,22/01/2012,28/02/2012,HE,S,7,P,7832,D,B,2,0,F,28/07/2003,30,2003,14.5,A,00/01/1900,BrF,0,Primary,0,0,01/01/2012,01/06/2012,43,43,43.2,43,1503,4,3122,1,0.965994414,9746884,0.893780853
1869,10/02/2014,0.085230772,1869,124,2014,19/01/2014,04/03/2014,HE,P,53,P,8518,P,B,2,2,M,07/08/2003,30,2003,15.89999962,A,00/01/1900,BrM,0,Primary,0,0,01/01/2014,01/06/2014,40,40,40.2,40,832,4,3840,1,1.297535517,14745600,1.488260614
1877,04/08/2010,0.871666448,1877,104,2010,30/06/2010,10/09/2010,MH,P,3,H,7072,D,B,2,NA,M,24/09/2003,30,2003,16.89999962,A,00/01/1900,BrM,0,Primary,0,0,01/01/2010,01/06/2010,215,64,64.1,64,1893,4,2506,1,0.681552464,6280036,0.481480781
1877,01/07/2012,0.457664659,1877,116,2012,04/06/2012,30/09/2012,DLG,P,13,P,8002,D,B,2,1,M,24/09/2003,30,2003,17.10000038,A,00/01/1900,BrM,697,Primary,0,0,01/01/2012,01/06/2012,182,30,30.1,30,1893,4,3203,2,1.003396683,10259209,0.954709868
2966,07/02/2012,0.326547695,2966,112,2012,22/01/2012,28/02/2012,HE,S,10,P,7814,D,B,2,2,M,26/02/2004,31,2003,16,A,00/01/1900,BrM,0,Primary,0,0,01/01/2012,01/06/2012,37,37,37.2,37,1605,4,2903,1,0.864869759,8427409,0.736860319
2966,30/01/2013,0.004546304,2966,118,2013,22/01/2013,27/02/2013,SH,P,9,P,8183,D,B,2,2,M,26/02/2004,31,2003,15,A,00/01/1900,BrM,358,Primary,0,0,01/01/2013,01/06/2013,29,29,29.2,29,1605,4,3261,2,1.030178555,10634121,0.999296838
2966,17/02/2014,0.096546702,2966,124,2014,19/01/2014,04/03/2014,HE,P,35,P,8528,P,B,2,1,M,26/02/2004,31,2003,16.39999962,A,00/01/1900,BrM,383,Primary,0,0,01/01/2014,01/06/2014,47,47,47.2,47,1605,4,3644,3,1.207031261,13278736,1.313811623
2968,08/02/2012,-0.2297167,2968,112,2012,22/01/2012,28/02/2012,LJR,S,15,P,7821,D,B,2,2,F,02/10/2003,30,2003,14.5,A,00/01/1900,BrF,0,Primary,0,0,01/01/2012,01/06/2012,38,38,38.2,38,459,4,3051,1,0.933209708,9308601,0.841657393
2978,11/02/2012,-0.046360253,2978,112,2012,22/01/2012,28/02/2012,HE,S,27,P,7830,D,B,2,0,F,07/06/2003,30,2003,15.5,A,00/01/1900,BrF,0,Primary,0,0,01/01/2012,01/06/2012,41,41,41.2,41,1892,4,3171,1,0.988620478,10055241,0.93045267
2986,26/09/2013,0.248107547,2986,122,2013,18/06/2013,30/09/2013,MB,C,32,P,8469,P,G,2,1,F,06/03/2004,31,2003,16.10000038,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,268,117,117.1,117,869,4,3491,1,1.13638253,12187081,1.183984923
2991,20/02/2013,0.38030634,2991,118,2013,22/01/2013,27/02/2013,HE,C,43,P,8219,D,B,2,2,M,28/11/2003,31,2003,16.5,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,50,50,50.2,50,832,4,3372,1,1.081433517,11370384,1.086858014
2991,23/06/2014,0.288305943,2991,125,2014,16/06/2014,04/10/2014,HE,P,112,P,8632,P,B,2,0,M,28/11/2003,31,2003,16.10000038,A,00/01/1900,BrM,488,Primary,0,0,01/01/2014,01/06/2014,173,22,22.1,22,832,4,3860,2,1.306770646,14899600,1.506575294
3085,04/07/2010,-0.40488293,3085,104,2010,30/06/2010,10/09/2010,SP,P,15,H,7034,D,B,2,NA,F,22/10/2004,34,2004,15.19999981,A,00/01/1900,BrF,0,Primary,0,0,01/01/2010,01/06/2010,184,33,33.1,33,1763,4,2081,1,0.485305989,4330561,0.249636557
3085,12/06/2012,-0.588883726,3085,116,2012,04/06/2012,30/09/2012,DLG,S,17,P,7947,D,B,2,0,F,22/10/2004,34,2004,14,A,00/01/1900,BrF,709,Primary,0,0,01/01/2012,01/06/2012,163,11,11.1,11,1763,4,2790,2,0.812691285,7784100,0.660353837
3085,13/02/2015,-0.588883726,3085,139,2015,16/01/2015,05/03/2015,MB,S,30,P,8962,D,G,2,2,F,22/10/2004,34,2004,14.39999962,A,00/01/1900,BrF,976,Primary,0,0,01/01/2015,01/06/2015,43,43,43.2,43,1763,4,3766,3,1.263365543,14182756,1.421323551
3087,22/09/2012,0.291245296,3087,116,2012,04/06/2012,30/09/2012,SAK,S,29,P,8040,D,B,2,1,M,28/08/2004,34,2004,16.60000038,A,00/01/1900,BrM,0,Primary,0,0,01/01/2012,01/06/2012,265,113,113.1,113,1753,4,2947,1,0.885187042,8684809,0.767471999
3089,11/02/2012,0.848895145,3089,112,2012,22/01/2012,28/02/2012,HE,S,20,P,7828,D,B,2,0,M,04/11/2004,35,2005,18,A,00/01/1900,BrM,0,Primary,0,0,01/01/2012,01/06/2012,41,41,41.2,41,1617,4,2655,1,0.750354169,7049025,0.572933945
3094,30/01/2013,0.008225949,3094,118,2013,22/01/2013,27/02/2013,HE,P,5,P,8180,D,B,2,2,F,05/09/2004,34,2004,15,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,29,29,29.2,29,1891,4,3069,1,0.941521324,9418761,0.854758336
3094,20/07/2013,0.054226147,3094,122,2013,18/06/2013,30/09/2013,LMG,S,23,P,8364,P,G,2,0,F,05/09/2004,34,2004,15.5,A,00/01/1900,BrF,171,Primary,0,0,01/01/2013,01/06/2013,200,49,49.1,49,1891,4,3240,2,1.02048167,10497600,0.983060874
3094,21/06/2014,0.238226943,3094,125,2014,16/06/2014,04/10/2014,HE,P,10,P,8641,P,B,2,0,F,05/09/2004,34,2004,16.60000038,A,00/01/1900,BrF,336,Primary,0,0,01/01/2014,01/06/2014,171,20,20.1,20,1891,4,3576,3,1.175631825,12787776,1.255423473
3451,11/07/2013,0.989113844,3451,122,2013,18/06/2013,30/09/2013,HE,C,2,P,8346,P,G,2,0,F,13/04/2005,37,2005,18.5,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,191,40,40.1,40,2987,4,3011,1,0.914739452,9066121,0.812820097
3453,27/06/2012,-0.226491753,3453,116,2012,04/06/2012,30/09/2012,DLG,S,5,P,7970,D,B,2,0,F,15/10/2004,34,2004,15.10000038,A,00/01/1900,BrF,0,Primary,0,0,01/01/2012,01/06/2012,178,26,26.1,26,1563,4,2812,1,0.822849926,7907344,0.675010813
3456,23/02/2012,0.118128684,3456,112,2012,22/01/2012,28/02/2012,HE,S,6,P,7848,D,B,2,2,M,13/06/2004,34,2004,16,A,00/01/1900,BrM,0,Primary,0,0,01/01/2012,01/06/2012,53,53,53.2,53,1580,4,2811,1,0.82238817,7901721,0.67434209
3462,24/02/2013,-0.103055452,3462,118,2013,22/01/2013,27/02/2013,HE,P,93,P,8225,D,B,2,0,F,16/04/2005,37,2005,16,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,54,54,54.2,54,1403,4,2871,1,0.850093554,8242641,0.714886509
3462,14/02/2014,0.034945144,3462,124,2014,19/01/2014,04/03/2014,HE,P,38,P,8524,P,B,2,2,F,16/04/2005,37,2005,14.89999962,A,00/01/1900,BrF,355,Primary,0,0,01/01/2014,01/06/2014,44,44,44.2,44,1403,4,3226,2,1.014017081,10407076,0.972295172
3486,06/08/2013,0.250386735,3486,122,2013,18/06/2013,30/09/2013,HE,S,2,P,8395,P,G,2,0,M,12/06/2005,37,2005,17.5,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,217,66,66.1,66,1705,4,2977,1,0.899039734,8862529,0.788607615
3486,18/08/2013,0.43438753,3486,122,2013,18/06/2013,30/09/2013,HE,S,22,P,8423,P,G,2,0,M,12/06/2005,37,2005,15,A,00/01/1900,BrM,12,Primary,0,0,01/01/2013,01/06/2013,229,78,78.1,78,1705,4,2989,2,0.904580811,8934121,0.7971218
3490,09/02/2012,-0.756541641,3490,112,2012,22/01/2012,28/02/2012,HE,S,3,P,7826,D,B,2,0,F,15/03/2005,35,2005,13.5,A,00/01/1900,BrF,0,Primary,0,0,01/01/2012,01/06/2012,39,39,39.2,39,1501,4,2522,1,0.688940567,6360484,0.491048179
3490,16/06/2012,-0.894542238,3490,116,2012,04/06/2012,30/09/2012,DLG,S,4,P,7956,D,B,2,0,F,15/03/2005,35,2005,14.10000038,A,00/01/1900,BrF,128,Primary,0,0,01/01/2012,01/06/2012,167,15,15.1,15,1501,4,2650,2,0.748045387,7022500,0.56977942
3497,02/09/2010,-0.195633263,3497,104,2010,30/06/2010,10/09/2010,SP,T,3,H,7123,D,B,2,NA,F,20/03/2005,37,2005,15.10000038,A,00/01/1900,BrF,0,Primary,0,0,01/01/2010,01/06/2010,244,93,93.1,93,1705,4,1992,1,0.444209668,3968064,0.20652606
3497,11/06/2012,-0.517634655,3497,116,2012,04/06/2012,30/09/2012,DLG,S,2,P,7924,D,B,2,1,F,20/03/2005,37,2005,14.39999962,A,00/01/1900,BrF,648,Primary,0,0,01/01/2012,01/06/2012,162,10,10.1,10,1705,4,2640,2,0.743427823,6969600,0.563488208
3518,09/07/2013,0.592727984,3518,122,2013,18/06/2013,30/09/2013,LMG,C,95,P,8342,P,G,2,1,F,05/08/2005,37,2005,17,A,00/01/1900,ABX,0,Non-primary,0,0,01/01/2013,01/06/2013,189,38,38.1,38,1501,4,2895,1,0.861175708,8381025,0.731344033
3519,06/07/2010,0.313902747,3519,104,2010,30/06/2010,10/09/2010,SP,R,34,H,7033,D,B,2,NA,M,07/08/2005,37,2005,16.29999924,A,00/01/1900,BrM,0,Primary,0,0,01/01/2010,01/06/2010,186,35,35.1,35,1346,4,1794,1,0.352781899,3218436,0.117375431
3567,16/09/2012,0.045317971,3567,116,2012,04/06/2012,30/09/2012,VS,P,7,P,8023,D,B,2,2,F,22/12/2004,35,2005,16,A,00/01/1900,BrF,0,Primary,0,0,01/01/2012,01/06/2012,259,107,107.1,107,1757,4,2825,1,0.828852759,7980625,0.683725865
3594,08/02/2012,0.239479873,3594,112,2012,22/01/2012,28/02/2012,HE,S,5,P,7823,D,B,2,2,F,23/08/2005,37,2005,16,A,00/01/1900,BrF,0,Primary,0,0,01/01/2012,01/06/2012,38,38,38.2,38,1740,4,2360,1,0.614136028,5569600,0.396991119
3595,24/09/2012,-0.226491753,3595,116,2012,04/06/2012,30/09/2012,VS,P,0,P,8049,D,B,2,1,F,31/08/2005,37,2005,15.10000038,A,00/01/1900,H,0,Non-primary,0,0,01/01/2012,01/06/2012,267,115,115.1,115,1893,4,2581,1,0.716184195,6661561,0.526854211
3606,03/02/2012,-0.375338127,3606,112,2012,22/01/2012,28/02/2012,HE,S,16,P,7809,D,B,2,2,F,16/08/2005,37,2005,14.5,A,00/01/1900,BrF,0,Primary,0,0,01/01/2012,01/06/2012,33,33,33.2,33,3003,4,2362,1,0.615059541,5579044,0.398114261
3608,29/06/2012,-0.103738895,3608,116,2012,04/06/2012,30/09/2012,DLG,P,12,P,7977,D,B,2,1,F,31/08/2005,37,2005,14.89999962,A,00/01/1900,BrF,0,Primary,0,0,01/01/2012,01/06/2012,180,28,28.1,28,1705,4,2494,1,0.676011387,6220036,0.474345191
3608,14/09/2012,-0.057738696,3608,116,2012,04/06/2012,30/09/2012,SAK,S,37,P,8018,D,B,2,1,F,31/08/2005,37,2005,16,A,00/01/1900,BrF,77,Primary,0,0,01/01/2012,01/06/2012,257,105,105.1,105,1705,4,2571,2,0.711566631,6610041,0.520727118
3643,28/08/2013,0.142398922,3643,122,2013,18/06/2013,30/09/2013,LMG,S,12,P,8434,P,G,2,0,M,28/09/2005,37,2005,16,A,00/01/1900,BrM,336,Primary,0,0,01/01/2013,01/06/2013,239,88,88.1,88,1665,4,2891,1,0.859328683,8357881,0.728591598
3694,22/08/2013,-0.46701635,3694,122,2013,18/06/2013,30/09/2013,HE,C,4,P,8430,P,G,2,0,F,06/12/2004,35,2005,14,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,233,82,82.1,82,869,4,3181,1,0.993238042,10118761,0.93800688
3699,02/07/2013,0.16666916,3699,122,2013,18/06/2013,30/09/2013,LMG,S,16,P,8336,P,G,2,0,F,08/10/2005,37,2005,16,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,182,31,31.1,31,2968,4,2824,1,0.828391003,7974976,0.68305405
4803,05/08/2013,0.050720698,4803,122,2013,18/06/2013,30/09/2013,LMG,S,2,P,8394,P,G,2,0,F,17/12/2005,54,2005,15.5,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,216,65,65.1,65,1042,4,2788,1,0.811767772,7772944,0.659027093
4860,14/02/2013,0.118128684,4860,118,2013,22/01/2013,27/02/2013,SH,S,58,P,8208,D,B,2,0,M,11/05/2006,75,2006,16,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,44,44,44.2,44,1821,4,2471,1,0.66539099,6105841,0.46076438
4861,07/07/2012,0.072946809,4861,116,2012,04/06/2012,30/09/2012,DLG,S,11,P,7995,D,B,2,0,F,14/07/2006,75,2006,15.39999962,A,00/01/1900,BrF,0,Primary,0,0,01/01/2012,01/06/2012,188,36,36.1,36,2989,4,2185,1,0.533328656,4774225,0.30239996
4861,25/09/2012,-0.065053788,4861,116,2012,04/06/2012,30/09/2012,SAK,S,39,P,8051,D,B,2,1,F,14/07/2006,75,2006,15.80000019,A,00/01/1900,BrF,80,Primary,0,0,01/01/2012,01/06/2012,268,116,116.1,116,2989,4,2265,2,0.570269169,5130225,0.344737791
4883,28/08/2010,0.327426905,4883,104,2010,30/06/2010,10/09/2010,SP,S,59,H,7098,D,B,2,NA,F,06/08/2006,75,2006,14.80000019,A,00/01/1900,BrF,0,Primary,0,0,01/01/2010,01/06/2010,239,88,88.1,88,1697,4,1483,1,0.209175655,2199289,-0.003828147
4883,11/07/2013,0.327426905,4883,122,2013,18/06/2013,30/09/2013,LMG,C,94,P,8348,P,G,2,0,F,06/08/2006,75,2006,17.5,A,00/01/1900,BrF,385,Primary,0,0,01/01/2013,01/06/2013,191,40,40.1,40,1697,4,2531,2,0.693096374,6405961,0.496456599
4885,13/07/2013,0.119206273,4885,122,2013,18/06/2013,30/09/2013,HE,S,5,P,8350,P,G,2,1,F,05/08/2006,75,2006,16,A,00/01/1900,BrF,291,Primary,0,0,01/01/2013,01/06/2013,193,42,42.1,42,1772,4,2534,1,0.694481643,6421156,0.498263687
4885,14/07/2013,-0.15679492,4885,122,2013,18/06/2013,30/09/2013,HE,C,43,P,8352,P,G,2,1,F,05/08/2006,75,2006,15,A,00/01/1900,BrF,1,Primary,0,0,01/01/2013,01/06/2013,194,43,43.1,43,1772,4,2535,2,0.6949434,6426225,0.498866526
4887,16/07/2010,0.818103789,4887,104,2010,30/06/2010,10/09/2010,SP,T,36,H,7047,D,B,2,NA,M,05/08/2006,75,2006,17.20000076,A,00/01/1900,BrM,0,Primary,0,0,01/01/2010,01/06/2010,196,45,45.1,45,1790,4,1441,1,0.189781885,2076481,-0.018433271
4887,06/08/2010,0.404102,4887,104,2010,30/06/2010,10/09/2010,SP,P,19,H,7073,D,B,2,NA,M,05/08/2006,75,2006,16.5,A,00/01/1900,BrM,21,Primary,0,0,01/01/2010,01/06/2010,217,66,66.1,66,1790,4,1462,2,0.19947877,2137444,-0.011183156
4890,06/06/2012,0.250563544,4890,116,2012,04/06/2012,30/09/2012,SAK,S,24,P,7911,D,B,2,1,M,14/08/2006,75,2006,16.10000038,A,00/01/1900,BrM,0,Primary,0,0,01/01/2012,01/06/2012,157,5,5.1,5,1510,4,2123,1,0.504699758,4507129,0.27063517
4890,03/02/2013,0.296563742,4890,118,2013,22/01/2013,27/02/2013,SH,C,74,P,8190,D,B,2,0,M,14/08/2006,75,2006,16,A,00/01/1900,BrM,242,Primary,0,0,01/01/2013,01/06/2013,33,33,33.2,33,1510,4,2365,2,0.61644481,5593225,0.399800757
4892,28/07/2010,0.573142349,4892,104,2010,30/06/2010,10/09/2010,SP,S,46,H,7070,D,B,2,NA,M,14/08/2006,75,2006,16.5,A,00/01/1900,BrM,0,Primary,0,0,01/01/2010,01/06/2010,208,57,57.1,57,3505,4,1444,1,0.191167155,2085136,-0.017403963
