BirdID,Date,StndBody.mass,animal,FieldPeriodID,PeriodYear,PeriodStart,PeriodEnd,Observer,Weather,ReleaseMethod,CatchID,ExplorationBranchOrientation,TentColour,Novel.object.score,TentTerritoryID,Wind,SexEstimate,BirthDate,BirthFieldPeriodID,BirthPeriodYear,BodyMass,Ageclass,CatchTime,Status,Time.between.tests,Social.status,TentPoles,BranchHeight,Start.of.year,Start.of.June,Season.yr.start,Season.june.start,Season,Days.into.season,mum,Ageclass2,Age_days,Testno,Age_sd,Age_sq,Age_sq_sd
3094,20/07/2013,0.054226147,3094,122,2013,18/06/2013,30/09/2013,LMG,S,P,8364,P,G,54,2,0,F,05/09/2004,34,2004,15.5,A,00/01/1900,BrF,171,Primary,0,0,01/01/2013,01/06/2013,200,49,49.1,49,1891,4,3240,1,1.077191494,10497600,1.043297049
3094,21/06/2014,0.238226943,3094,125,2014,16/06/2014,04/10/2014,HE,P,P,8641,P,B,107,2,0,F,05/09/2004,34,2004,16.60000038,A,00/01/1900,BrF,336,Primary,0,0,01/01/2014,01/06/2014,171,20,20.1,20,1891,4,3576,2,1.239907285,12787776,1.327628366
3451,11/07/2013,0.989113844,3451,122,2013,18/06/2013,30/09/2013,HE,C,P,8346,P,G,2,2,0,F,13/04/2005,37,2005,18.5,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,191,40,40.1,40,2987,4,3011,1,0.966292934,9066121,0.865575202
3462,24/02/2013,-0.103055452,3462,118,2013,22/01/2013,27/02/2013,HE,P,P,8225,D,B,93,2,0,F,16/04/2005,37,2005,16,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,54,54,54.2,54,1403,4,2871,1,0.898494687,8242641,0.763338015
3462,14/02/2014,0.034945144,3462,124,2014,19/01/2014,04/03/2014,HE,P,P,8524,P,B,111,2,2,F,16/04/2005,37,2005,14.89999962,A,00/01/1900,BrF,355,Primary,0,0,01/01/2014,01/06/2014,44,44,44.2,44,1403,4,3226,2,1.070411669,10407076,1.032058259
3486,06/08/2013,0.250386735,3486,122,2013,18/06/2013,30/09/2013,HE,S,H,8395,P,G,1,2,0,M,12/06/2005,37,2005,17.5,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,217,66,66.1,66,1705,4,2977,1,0.949827645,8862529,0.840298725
3486,18/08/2013,0.43438753,3486,122,2013,18/06/2013,30/09/2013,HE,S,P,8423,P,G,78,2,0,M,12/06/2005,37,2005,15,A,00/01/1900,BrM,12,Primary,0,0,01/01/2013,01/06/2013,229,78,78.1,78,1705,4,2989,2,0.955638923,8934121,0.849187059
3643,28/08/2013,0.142398922,3643,122,2013,18/06/2013,30/09/2013,LMG,S,P,8434,P,G,23,2,0,M,28/09/2005,37,2005,16,A,00/01/1900,BrM,336,Primary,0,0,01/01/2013,01/06/2013,239,88,88.1,88,1665,4,2891,1,0.908180151,8357881,0.777645361
3694,22/08/2013,-0.46701635,3694,122,2013,18/06/2013,30/09/2013,HE,C,P,8430,P,G,2,2,0,F,06/12/2004,35,2005,14,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,233,82,82.1,82,869,4,3181,1,1.048619376,10118761,0.996263201
3699,02/07/2013,0.16666916,3699,122,2013,18/06/2013,30/09/2013,LMG,S,P,8336,P,G,9,2,0,F,08/10/2005,37,2005,16,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,182,31,31.1,31,2968,4,2824,1,0.875733847,7974976,0.730106708
4803,05/08/2013,0.050720698,4803,122,2013,18/06/2013,30/09/2013,LMG,S,P,8394,P,G,1,2,0,F,17/12/2005,54,2005,15.5,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,216,65,65.1,65,1042,4,2788,1,0.858300012,7772944,0.705023909
4860,14/02/2013,0.118128684,4860,118,2013,22/01/2013,27/02/2013,SH,S,P,8208,D,B,65,2,0,M,11/05/2006,75,2006,16,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,44,44,44.2,44,1821,4,2471,1,0.704785411,6105841,0.498048729
4883,11/07/2013,0.327426905,4883,122,2013,18/06/2013,30/09/2013,LMG,C,H,8348,P,G,160,2,0,F,06/08/2006,75,2006,17.5,A,00/01/1900,BrF,385,Primary,0,0,01/01/2013,01/06/2013,191,40,40.1,40,1697,4,2531,1,0.733841803,6405961,0.535309409
4885,13/07/2013,0.119206273,4885,122,2013,18/06/2013,30/09/2013,HE,S,P,8350,P,G,19,2,1,F,05/08/2006,75,2006,16,A,00/01/1900,BrF,291,Primary,0,0,01/01/2013,01/06/2013,193,42,42.1,42,1772,4,2534,1,0.735294622,6421156,0.537195907
4885,14/07/2013,-0.15679492,4885,122,2013,18/06/2013,30/09/2013,HE,C,P,8352,P,G,54,2,1,F,05/08/2006,75,2006,15,A,00/01/1900,BrF,1,Primary,0,0,01/01/2013,01/06/2013,194,43,43.1,43,1772,4,2535,2,0.735778896,6426225,0.537825237
4892,24/08/2013,0.619142548,4892,122,2013,18/06/2013,30/09/2013,MB,C,P,8427,P,G,84,2,0,M,14/08/2006,75,2006,17,A,00/01/1900,BrM,340,Primary,0,0,01/01/2013,01/06/2013,235,84,84.1,84,3505,4,2567,1,0.751275638,6589489,0.558094888
4904,18/08/2013,-0.283659903,4904,122,2013,18/06/2013,30/09/2013,HE,S,P,8416,P,G,71,2,0,F,20/08/2006,75,2006,15,A,00/01/1900,BrF,328,Primary,0,0,01/01/2013,01/06/2013,229,78,78.1,78,1854,4,2555,1,0.745464359,6528025,0.550463972
4933,18/09/2013,0.338172985,4933,122,2013,18/06/2013,30/09/2013,MB,S,H,8465,P,G,0,2,0,M,08/09/2006,75,2006,16.29999924,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,260,109,109.1,109,3453,4,2567,1,0.751275638,6589489,0.558094888
4947,21/02/2013,0.42283632,4947,118,2013,22/01/2013,27/02/2013,HE,P,P,8221,D,B,38,2,2,M,12/10/2006,75,2006,17,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,51,51,51.2,51,1865,4,2324,1,0.633597253,5400976,0.410537903
4957,16/07/2013,0.257112736,4957,122,2013,18/06/2013,30/09/2013,HD,S,P,8356,P,G,57,2,0,M,16/10/2006,75,2006,16,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,196,45,45.1,45,2982,4,2465,1,0.701879772,6076225,0.494371825
4957,21/07/2014,-0.064888656,4957,125,2014,16/06/2014,04/10/2014,HE,P,H,8746,P,B,89,2,0,M,16/10/2006,75,2006,15.60000038,A,00/01/1900,BrM,370,Primary,0,0,01/01/2014,01/06/2014,201,50,50.1,50,2982,4,2835,2,0.881060852,8037225,0.737835084
4965,04/07/2013,0.811295113,4965,122,2013,18/06/2013,30/09/2013,HE,S,P,8338,P,G,27,2,0,F,20/10/2006,75,2006,18,A,00/01/1900,BrF,1055,Primary,0,0,01/01/2013,01/06/2013,184,33,33.1,33,3094,4,2449,1,0.694131401,5997601,0.484610451
4999,16/09/2013,0.436866722,4999,122,2013,18/06/2013,30/09/2013,MB,C,P,8451,P,G,78,2,1,F,17/02/2007,77,2007,16.60000038,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,258,107,107.1,107,1757,4,2403,1,0.671854835,5774409,0.456900583
5000,14/07/2013,0.311264705,5000,122,2013,18/06/2013,30/09/2013,HE,C,P,8353,P,G,60,2,1,M,21/10/2006,75,2006,16,A,00/01/1900,BrM,156,Primary,0,0,01/01/2013,01/06/2013,194,43,43.1,43,3002,4,2458,1,0.69848986,6041764,0.490093402
5009,14/02/2019,-0.604010102,5009,171,2019,21/01/2019,09/03/2019,TC,S,P,10740,P,G,0,2,0,F,24/10/2006,75,2006,14.10000038,A,00/01/1900,BrF,2417,Primary,1,1,01/01/2019,01/06/2019,44,44,44.2,44,1778,4,4496,1,1.685438619,20214016,2.249615407
5072,14/02/2015,0.243748181,5072,139,2015,16/01/2015,05/03/2015,MB,S,P,8961,D,G,112,2,2,M,20/04/2007,77,2007,16.10000038,A,00/01/1900,BrM,981,Primary,0,0,01/01/2015,01/06/2015,44,44,44.2,44,2985,4,2857,1,0.891714862,8162449,0.753381969
5162,28/07/2013,-0.795994224,5162,122,2013,18/06/2013,30/09/2013,LMG,S,P,8384,P,G,16,2,0,F,15/01/2007,77,2007,13,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,208,57,57.1,57,1244,4,2386,1,0.66362219,5692996,0.446792947
5173,19/09/2013,-0.533702722,5173,122,2013,18/06/2013,30/09/2013,MB,C,P,8463,P,G,27,2,0,F,03/06/2007,77,2007,15.39999962,A,00/01/1900,ABX,367,Non-primary,0,0,01/01/2013,01/06/2013,261,110,110.1,110,845,4,2300,1,0.621974696,5290000,0.396759943
5173,01/02/2014,-0.441702324,5173,124,2014,19/01/2014,04/03/2014,HE,P,P,8511,P,B,33,2,1,F,03/06/2007,77,2007,13.69999981,A,00/01/1900,BrF,135,Primary,0,0,01/01/2014,01/06/2014,31,31,31.2,31,845,4,2435,2,0.687351577,5929225,0.476121392
5217,05/09/2013,0.265276183,5217,122,2013,18/06/2013,30/09/2013,LMG,S,P,8438,P,G,10,2,0,F,25/05/2008,87,2008,15.80000019,A,00/01/1900,H,0,Non-primary,0,0,01/01/2013,01/06/2013,247,96,96.1,96,3596,4,1929,1,0.442309343,3721041,0.201969596
5217,05/02/2015,0.035275189,5217,139,2015,16/01/2015,05/03/2015,MB,S,H,8935,D,G,56,2,1,F,25/05/2008,87,2008,15.89999962,A,00/01/1900,H,518,Non-primary,0,0,01/01/2015,01/06/2015,35,35,35.2,35,3596,4,2447,2,0.693162855,5987809,0.483394749
5235,01/08/2013,0.000901528,5235,122,2013,18/06/2013,30/09/2013,HE,P,P,8503,P,G,69,2,1,M,31/05/2008,87,2008,15,A,00/01/1900,BrM,317,Primary,0,0,01/01/2013,01/06/2013,212,61,61.1,61,1669,4,1888,1,0.422454142,3564544,0.182540086
5249,11/08/2013,-0.162308714,5249,122,2013,18/06/2013,30/09/2013,MB,C,P,8420,P,G,75,2,0,M,09/12/2007,85,2008,15,A,00/01/1900,BrM,330,Primary,0,0,01/01/2013,01/06/2013,222,71,71.1,71,1782,4,2072,1,0.511560409,4293184,0.27300264
5267,17/08/2013,-0.286867762,5267,122,2013,18/06/2013,30/09/2013,HE,S,P,8419,P,G,91,2,0,F,20/12/2007,85,2008,14,A,00/01/1900,BrF,342,Primary,0,0,01/01/2013,01/06/2013,228,77,77.1,77,3518,4,2067,1,0.509139043,4272489,0.270433302
5290,15/02/2013,-0.070630491,5290,118,2013,22/01/2013,27/02/2013,HE,S,P,8209,D,B,7,2,2,M,23/10/2008,87,2008,15.5,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,45,45,45.2,45,5079,4,1576,1,0.271360907,2483776,0.048359923
5291,07/08/2014,0.580374984,5291,125,2014,16/06/2014,04/10/2014,HE,C,P,8769,P,B,63,2,0,M,23/10/2008,87,2008,16.5,A,00/01/1900,BrM,322,Primary,0,0,01/01/2014,01/06/2014,218,67,67.1,67,1043,4,2114,1,0.531899883,4468996,0.294830158
5292,24/08/2013,0.495647033,5292,122,2013,18/06/2013,30/09/2013,MB,C,P,8428,P,G,1,2,0,M,23/11/2008,90,2009,17,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,235,84,84.1,84,3022,4,1735,1,0.348360344,3010225,0.113719938
5321,02/09/2013,0.331158096,5321,122,2013,18/06/2013,30/09/2013,MB,C,P,8440,P,G,3,2,0,M,18/03/2009,90,2009,16.5,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,244,93,93.1,93,3453,4,1629,1,0.297027386,2653641,0.069449106
5334,31/07/2013,0.856517736,5334,122,2013,18/06/2013,30/09/2013,LMG,S,P,8501,P,G,13,2,0,M,22/03/2009,90,2009,19,A,00/01/1900,BrM,382,Primary,0,0,01/01/2013,01/06/2013,211,60,60.1,60,3596,4,1592,1,0.279109278,2534464,0.054652971
5338,14/07/2013,-0.134260336,5338,122,2013,18/06/2013,30/09/2013,HE,C,P,8351,P,G,51,2,1,M,14/04/2009,92,2009,15.5,A,00/01/1900,BrM,372,Primary,0,0,01/01/2013,01/06/2013,194,43,43.1,43,1798,4,1552,1,0.259738351,2408704,0.039039539
5447,18/07/2013,-0.089498001,5447,122,2013,18/06/2013,30/09/2013,LMG,S,P,8359,P,G,17,2,0,M,09/05/2009,92,2009,15,A,00/01/1900,BrM,0,Primary,0,0,01/01/2013,01/06/2013,198,47,47.1,47,2989,4,1531,1,0.249568614,2343961,0.031001527
5453,31/07/2013,0.027535701,5453,122,2013,18/06/2013,30/09/2013,HE,S,P,8500,P,G,11,2,0,M,05/08/2009,92,2009,15.5,A,00/01/1900,BrM,1086,Primary,0,0,01/01/2013,01/06/2013,211,60,60.1,60,1763,4,1456,1,0.213248125,2119936,0.00318824
5508,03/07/2013,0.901560549,5508,122,2013,18/06/2013,30/09/2013,LMG,S,P,8337,P,G,0,2,0,M,15/11/2009,92,2009,18,A,00/01/1900,BrM,365,Primary,0,0,01/01/2013,01/06/2013,183,32,32.1,32,4896,4,1326,1,0.15029261,1758276,-0.041712791
5513,22/09/2013,0.887051291,5513,122,2013,18/06/2013,30/09/2013,MB,C,P,8476,P,G,19,2,1,M,13/11/2009,92,2009,18.20000076,A,00/01/1900,BrM,471,Primary,0,0,01/01/2013,01/06/2013,264,113,113.1,113,4973,4,1409,1,0.190487285,1985281,-0.013529529
5514,14/08/2013,-0.925228811,5514,122,2013,18/06/2013,30/09/2013,MB,C,P,8408,P,G,43,2,0,F,13/11/2009,92,2009,14,A,00/01/1900,BrF,1130,Primary,0,0,01/01/2013,01/06/2013,225,74,74.1,74,5320,4,1370,1,0.17160063,1876900,-0.026985313
5514,15/08/2013,-0.97122901,5514,122,2013,18/06/2013,30/09/2013,MB,C,P,8414,P,G,121,2,0,F,13/11/2009,92,2009,13,A,00/01/1900,BrF,1,Primary,0,0,01/01/2013,01/06/2013,226,75,75.1,75,5320,4,1371,2,0.172084903,1879641,-0.026645011
5517,12/02/2014,0.595417668,5517,124,2014,19/01/2014,04/03/2014,HE,P,P,8523,P,B,128,2,1,F,12/11/2009,92,2009,18.5,A,00/01/1900,ABX,1313,Non-primary,0,0,01/01/2014,01/06/2014,42,42,42.2,42,5267,4,1553,1,0.260222624,2411809,0.039425033
5522,24/07/2013,0.450019523,5522,122,2013,18/06/2013,30/09/2013,HE,S,H,8375,P,G,93,2,0,M,16/11/2009,92,2009,17,A,00/01/1900,BrM,524,Primary,0,0,01/01/2013,01/06/2013,204,53,53.1,53,1757,4,1346,1,0.159978074,1811716,-0.035078076
5523,29/06/2013,0.519034156,5523,122,2013,18/06/2013,30/09/2013,LMG,S,P,8330,P,G,124,2,0,M,16/11/2009,92,2009,18,A,00/01/1900,BrM,279,Primary,0,0,01/01/2013,01/06/2013,179,28,28.1,28,1757,4,1321,1,0.147871244,1745041,-0.043355951
5523,23/07/2013,0.519034156,5523,122,2013,18/06/2013,30/09/2013,HE,S,P,8369,P,G,83,2,0,M,16/11/2009,92,2009,16,A,00/01/1900,BrM,24,Primary,0,0,01/01/2013,01/06/2013,203,52,52.1,52,1757,4,1345,2,0.159493801,1809025,-0.035412171
5525,27/07/2013,-0.270079763,5525,122,2013,18/06/2013,30/09/2013,HE,S,H,8380,P,G,139,2,0,F,16/11/2009,92,2009,16,A,00/01/1900,H,414,Non-primary,0,0,01/01/2013,01/06/2013,207,56,56.1,56,5163,4,1349,1,0.161430893,1819801,-0.034074302
5525,22/09/2013,-0.086078968,5525,122,2013,18/06/2013,30/09/2013,MB,C,P,8479,P,G,6,2,1,F,16/11/2009,92,2009,15.39999962,A,00/01/1900,H,57,Non-primary,0,0,01/01/2013,01/06/2013,264,113,113.1,113,5163,4,1406,2,0.189034465,1976836,-0.014577998
5530,20/02/2014,-0.07557236,5530,124,2014,19/01/2014,04/03/2014,HE,C,P,8530,P,B,166,2,0,F,29/11/2009,92,2009,15.60000038,A,00/01/1900,BrF,740,Primary,0,0,01/01/2014,01/06/2014,50,50,50.2,50,3594,4,1544,1,0.255864165,2383936,0.035964527
5536,17/02/2013,-0.865693186,5536,118,2013,22/01/2013,27/02/2013,SH,S,P,8213,D,B,20,2,1,F,28/03/2010,103,2010,14.5,A,00/01/1900,BrF,937,Primary,0,0,01/01/2013,01/06/2013,47,47,47.2,47,1763,4,1057,1,0.020023122,1117249,-0.121297963
5536,15/09/2013,-0.681692391,5536,122,2013,18/06/2013,30/09/2013,MB,S,P,8453,P,G,6,2,1,F,28/03/2010,103,2010,14.10000038,A,00/01/1900,BrF,210,Primary,0,0,01/01/2013,01/06/2013,257,106,106.1,106,1763,4,1267,2,0.121720492,1605289,-0.060706526
5545,11/07/2013,0.587325257,5545,122,2013,18/06/2013,30/09/2013,HE,C,P,8347,P,G,66,2,0,F,03/08/2010,104,2010,17.5,A,00/01/1900,SEEN1,0,Non-primary,0,0,01/01/2013,01/06/2013,191,40,40.1,40,2989,4,1073,1,0.027771493,1151329,-0.117066843
5547,18/02/2013,0.275456675,5547,118,2013,22/01/2013,27/02/2013,SH,S,P,8216,D,B,41,2,1,M,14/08/2010,104,2010,16,A,00/01/1900,BrM,243,Primary,0,0,01/01/2013,01/06/2013,48,48,48.2,48,5217,4,919,1,-0.046806578,844561,-0.155152889
5547,10/07/2013,0.505457669,5547,122,2013,18/06/2013,30/09/2013,HE,S,P,8344,P,G,63,2,0,M,14/08/2010,104,2010,18.5,A,00/01/1900,BrM,142,Primary,0,0,01/01/2013,01/06/2013,190,39,39.1,39,5217,4,1061,2,0.021960215,1125721,-0.120246143
5547,30/01/2014,0.275456675,5547,124,2014,19/01/2014,04/03/2014,HE,P,P,8505,P,B,57,2,1,M,14/08/2010,104,2010,16.79999924,A,00/01/1900,BrM,204,Primary,0,0,01/01/2014,01/06/2014,29,29,29.2,29,5217,4,1265,3,0.120751945,1600225,-0.061335235
5547,20/02/2016,0.367457072,5547,144,2016,02/02/2016,09/03/2016,LJR,S,P,9244,P,B,73,1.1,2,M,14/08/2010,104,2010,13.5,A,00/01/1900,BrM,751,Primary,0,0,01/01/2016,01/06/2016,50,50,50.2,50,5217,4,2016,4,0.48444111,4064256,0.244580633
5559,10/08/2013,0.865199932,5559,122,2013,18/06/2013,30/09/2013,LMG,C,P,8398,P,G,1,2,1,M,05/01/2010,103,2010,18,A,00/01/1900,BrM,1073,Primary,0,0,01/01/2013,01/06/2013,221,70,70.1,70,1716,4,1313,1,0.143997059,1723969,-0.045972095
5575,30/07/2013,0.596183786,5575,122,2013,18/06/2013,30/09/2013,HE,S,P,8386,P,G,0,2,0,F,19/08/2010,104,2010,19,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,210,59,59.1,59,5168,4,1076,1,0.029224313,1157776,-0.116266431
5575,27/06/2014,0.642183985,5575,125,2014,16/06/2014,04/10/2014,HE,S,P,8666,P,B,4,2,0,F,19/08/2010,104,2010,14.60000038,A,00/01/1900,BrF,332,Primary,0,0,01/01/2014,01/06/2014,177,26,26.1,26,5168,4,1408,2,0.190003011,1982464,-0.013879267
5584,11/07/2014,-0.142423783,5584,125,2014,16/06/2014,04/10/2014,HE,P,P,8724,P,B,1,2,0,F,31/10/2010,104,2010,15.60000038,A,00/01/1900,BrF,652,Primary,0,0,01/01/2014,01/06/2014,191,40,40.1,40,3086,4,1349,1,0.161430893,1819801,-0.034074302
5588,26/09/2013,1.272122103,5588,122,2013,18/06/2013,30/09/2013,MB,C,H,8468,P,G,33,2,1,M,31/10/2010,104,2010,19,A,00/01/1900,BrM,475,Primary,0,0,01/01/2013,01/06/2013,268,117,117.1,117,4964,4,1061,1,0.021960215,1125721,-0.120246143
5590,24/02/2013,0.895713089,5590,118,2013,22/01/2013,27/02/2013,HE,P,P,8226,D,B,157,2,0,M,28/02/2011,105,2011,17,A,00/01/1900,BrM,164,Primary,0,0,01/01/2013,01/06/2013,54,54,54.2,54,5517,4,727,1,-0.13978703,528529,-0.194389085
5590,29/07/2013,0.665712096,5590,122,2013,18/06/2013,30/09/2013,HE,P,P,8385,P,G,96,2,0,M,28/02/2011,105,2011,17.5,A,00/01/1900,BrM,155,Primary,0,0,01/01/2013,01/06/2013,209,58,58.1,58,5517,4,882,2,-0.064724686,777924,-0.163426046
5597,26/08/2013,0.190939397,5597,122,2013,18/06/2013,30/09/2013,LMG,C,P,8432,P,G,1,2,0,F,06/11/2010,104,2010,16,A,00/01/1900,BrF,0,Primary,0,0,01/01/2013,01/06/2013,237,86,86.1,86,1716,4,1024,1,0.004042107,1048576,-0.129823895
5604,22/06/2013,-0.509608029,5604,122,2013,18/06/2013,30/09/2013,HE,S,H,8319,P,G,59,2,0,F,02/11/2010,104,2010,14,A,00/01/1900,ABX,486,Non-primary,0,0,01/01/2013,01/06/2013,172,21,21.1,21,5284,4,963,1,-0.025498558,927369,-0.14487206
5604,05/07/2014,-0.187606638,5604,125,2014,16/06/2014,04/10/2014,HE,C,H,8703,P,B,62,2,0,F,02/11/2010,104,2010,15.5,A,00/01/1900,ABX,378,Non-primary,0,0,01/01/2014,01/06/2014,185,34,34.1,34,5284,4,1341,2,0.157556708,1798281,-0.036746067
5612,13/08/2013,-0.119198639,5612,122,2013,18/06/2013,30/09/2013,MB,C,P,8405,P,G,9,2,1,M,09/11/2010,104,2010,15,A,00/01/1900,BrM,430,Primary,0,0,01/01/2013,01/06/2013,224,73,73.1,73,1827,4,1008,1,-0.003706264,1016064,-0.133860345
5612,08/09/2013,-0.303199434,5612,122,2013,18/06/2013,30/09/2013,MB,S,P,8442,P,G,117,2,0,M,09/11/2010,104,2010,15.10000038,A,00/01/1900,BrM,26,Primary,0,0,01/01/2013,01/06/2013,250,99,99.1,99,1827,4,1034,2,0.008884839,1069156,-0.127268835
5613,25/07/2013,0.069588209,5613,122,2013,18/06/2013,30/09/2013,HE,S,H,8377,P,G,31,2,0,F,02/07/2010,104,2010,16,A,00/01/1900,BrF,407,Primary,0,0,01/01/2013,01/06/2013,205,54,54.1,54,3518,4,1119,1,0.05004806,1252161,-0.104548287
