CalculationMethod,Island,Year,TerritoryID,TerritoryNumber,FieldPeriodID,Pisoni,Morind,Ficus,Ochros,AchAsp,PhyCas,Hibisc,QuiInd,Mangrv,CarPap,Scaevo,CorSub,TerCat,BoiBla,GosHir,Euphor,NepMul,OtherH,OtherT,SumVeg_X_Inverts,TQ,TQcorrected
Improved,CE,2008,396,118,86,0,2.391304348,0,0,0,0,,,0,,0,18.8375,,,0,1.066857143,0,0,3.072166667,25.36782816,,
Improved,CE,2008,397,119,86,1.527638191,0,0,0,0,0,,,0,,0,0,,,0,0,0,0,4.234166667,5.761804858,,
Improved,CE,2008,398,120,86,0,1.594202899,0,0.269863354,0,0,,,0,,0,27.4,,,0,0,0,0,1.536083333,30.80014959,,
Improved,CE,2008,399,121,86,0,1.594202899,0,0,0,0,,,0,,0,0,,,0,2.133714286,0,0,7.065983333,10.79390052,,
Improved,CE,2008,400,122,86,0,0,0,0,0,0,,,0,,0,1.825,,,0,0,0,0,6.35125,8.17625,,
Improved,CE,2008,402,123,86,1.43718593,3.550724638,2.936312849,0,0,0,,,0,,0,,,,0,0,0,0,0,7.924223416,,
Improved,CE,2008,404,124,86,1.829145729,0,4.567597765,0,0,0,,,0,,0,,,,0,0,0.697273469,0,0,7.094016963,,
Improved,CE,2008,406,125,86,1.698492462,6.746376812,5.220111732,0,0,0,,,0,,0,,,,0,0,0,0,1.11587,14.78085101,,
Improved,CE,2008,408,126,86,0,0,0,0.263850932,0,0,,,0,,0,3.1125,,,0,0,0,0,1.8101,5.186450932,,
Improved,CE,2008,409,127,86,1.713567839,0,0.407821229,0,0,0,,,0,,0,,,,0,0,0,0,0.189633333,2.311022402,,
Improved,CE,2008,410,128,86,2.763819095,0,0,0,0,0,,,0,,0.47028169,6.225,,,0,0,0,0,0.90505,10.36415079,,
Improved,CE,2008,412,130,86,2.512562814,5.413043478,0,0,0,0,,,0,,0,3.1125,,,0,0,0,0,0.90505,11.94315629,,
Improved,CE,2008,413,131,86,2.211055276,0,0.122346369,0,0,0,,,0,,0,,,,0,1,0,0,1.747733333,5.081134978,,
Improved,CE,2008,414,132,86,1.306532663,0,0.652513966,0,0,0,,,0,,0,,,,0,3.5,0.13099102,0,0,5.59003765,,
Improved,CE,2008,415,133,86,1.909547739,0,0.203910615,0,0,0,,,0,,0,,,,0,1.5,0.06549551,0,0,3.678953863,,
Improved,CE,2008,416,134,86,23.10552764,0,0,0,0,0,,,0,,0,,0,,0,0,0,0,0,23.10552764,,
Improved,CE,2008,417,135,86,13.98492462,0,0,0,0,0,,,0,,0,,0,,0,0.7205,0,0,0,14.70542462,,
Improved,CE,2008,418,136,86,2.221105528,1.420289855,1.957541899,0.510313043,0,0,,,0,,0,,,,0,0,0.10459102,0,0,6.213841346,,
Improved,CE,2008,419,137,86,8.512562814,2.376811594,0,0,0,0,,,0,,0,,1.513043478,,0,0,0,0,13.45351667,25.85593455,,
Improved,CE,2008,420,138,86,1.216080402,0,0,0,0,0,,,0,,0,,0,,0,7.9255,0.372326531,0,2.37415,11.88805693,,
Improved,CE,2008,421,139,86,12.16080402,0,0,0,0,0,,,0,,0,,0,,0,0,0.223395918,0,3.165533333,15.54973327,,
Improved,CE,2008,422,140,86,7.24120603,0,0,0,0,0,,,0,,0,0,,,0,1.928571429,0.455428571,0,0,9.62520603,,
Improved,CE,2008,438,143,86,11.1959799,0,15.41564246,0,0,0,,,0,,0,,,,0,3,0.708501769,0,0,30.32012413,,
Improved,CE,2008,439,144,86,8.396984925,0,9.420670391,0,0,0,,,0,,0,,,,0,13.5,0.708501769,0,0,32.02615708,,
Improved,CE,2008,440,142,86,3.814070352,0.362318841,14.31452514,0,0,0,,,0,,0,,,,0,0,0,0,0,18.49091433,,
Improved,CE,2008,441,141,86,1.492462312,0,7.952513966,0.270737267,0,0,,,0,,0,,,,0,0.955857143,0.68058449,0,0.557185,11.90934018,,
Improved,CE,2008,442,145,86,12.12897822,0,5.138547486,0,0,0,,,0,,0,,,,0,9,0.442813605,2.96878,0,29.67911932,,
Improved,CE,2008,443,146,86,14.9279732,0,6.851396648,0,0,0,,,0,,0,,,,0,0,0.885627211,0,0,22.66499706,,
Improved,CE,2008,444,147,86,13.06197655,0,1.712849162,0,0,0,,,0,,0,,,,0,12,0.177125442,0.742195,0,27.69414615,,
Improved,CE,2008,445,148,86,10.26298157,0,8.56424581,0,0,0,,,0,,0,,,,0,0,0.442813605,0,0,19.27004099,,
Improved,CE,2008,446,149,86,16.79396985,0,5.138547486,0,0,0,,,0,,0,,,,0,4.5,0.974189932,0,0,27.40670727,,
Improved,CE,2008,448,151,86,12.12897822,0,7.707821229,0,0,0,,,0,,0,,,,0,4.5,0,0,5.644146667,29.98094612,,
Improved,CE,2008,449,152,86,11.19095477,0.855072464,0,0,0,0,,,0,,0,0,,,0,0,0.195183673,0,0,12.24121091,,
Improved,CE,2008,450,153,86,2.804020101,0,1.427374302,0,0,0,,,0,,0,,,,0,0,0.123542857,0,0,4.354937259,,
Improved,CE,2008,451,154,86,2.638190955,2.405797101,0,0,0,0,,,0,,0,0,,,0,0,0,0,1.206733333,6.25072139,,
Improved,CE,2008,452,157,86,2.959798995,0,0.815642458,0,0,0,,,0,,0,,,,0,0,0,0,0.5689,4.344341453,,
Improved,CE,2008,453,158,86,1.246231156,0,1.019553073,0,0,0,,,0,,0,,,,0,0.609428571,0.052946939,0,0,2.928159739,,
Improved,CE,2008,454,159,86,2.959798995,0,1.835195531,0,0,0,,,0,,0,,,,0,0.761785714,0.123542857,0,0,5.680323097,,
Improved,CE,2008,455,160,86,3.979899497,0,0.489385475,0,0,0,,,0,,0,,,,0,0.152357143,0.103386122,0,0,4.725028238,,
Improved,CE,2008,456,161,86,1.989949749,0,0,0,0,0,,,0,,0,,,,0,0.304714286,0.068924082,0,0,2.363588116,,
Improved,CE,2008,457,162,86,2.211055276,0,1.345810056,0,0,0,,,0,,0,,,,0,0.152357143,0.068924082,0,0.740826667,4.518973223,,
Improved,CE,2008,458,163,86,2.211055276,0,3.425698324,0,0,0,,,0,,0,,,,0,0,0.137848163,0,0,5.774601764,,
Improved,CE,2008,459,164,86,4.64321608,0,1.345810056,0.06864472,0,0,,,0,,0,,,,0,0.304714286,0,0,0,6.362385142,,
Improved,CE,2008,460,165,86,1.989949749,0,1.223463687,0,0,0,,,0,,0,,,,0,0,0,0,0.55562,3.769033436,,
Improved,CE,2008,461,166,86,2.713567839,0,0,0,0,0,,,0,,0,,,,0,0.5,0,0,1.747733333,4.961301173,,
Improved,CE,2008,462,167,86,1.708542714,4.260869565,0.163128492,0,0,0,,,0,,0,,,,0,0.5,0,0,0,6.63254077,,
Improved,CE,2008,463,168,86,2.412060302,0,0.163128492,0,0,0,,,0,,0,,,,0,0.5,0.06549551,0,0,3.140684303,,
Improved,CE,2008,464,169,86,2.412060302,1.420289855,0.040782123,0,0,0,,,0,,0,,,,0,0.5,0,0,0,4.373132279,,
Improved,CE,2008,465,170,86,2.311557789,2.130434783,0.28547486,0,0,0,,,0,,0,,,,0,2.5,0,0,0,7.227467432,,
Improved,CE,2008,466,172,86,31.12562814,14.91304348,0,0,0,0,,,0,,0,,,,0,0,0,0,5.15465,51.19332162,,
Improved,CE,2008,467,173,86,2.432160804,8.31884058,0,0,0,0,,,0,,0,,0,,0,0,0,0,7.913833333,18.66483472,,
Improved,CE,2008,468,174,86,4.256281407,0,0,0,0,0,,,0,,0,,0,,0,0,0.446791837,0,4.7483,9.451373244,,
Improved,CE,2008,469,175,86,2.984924623,0,7.952513966,0,0,0,,,0,,0,,,,0,0,1.047053061,0,0,11.98449165,,
Improved,CE,2008,470,176,86,4.864321608,0,0,0,0,0,,,0,,0,,0,,0,0,0.819118367,0,0.791383333,6.474823309,,
Improved,CE,2008,471,179,86,0.663316583,0.18115942,23.0622905,0,0,0,,,0,,0,,,,0,0.477928571,0,0,0,24.38469508,,
Improved,CE,2008,473,155,86,2.804020101,0,1.223463687,0,0,0,,,0,,0,,,,0,0.152357143,0.105893878,0,0,4.285734808,,
Improved,CE,2008,483,184,86,4.422110553,0,0,0,0,0,,,0,,0,,,,0,0,0,0,0.55562,4.977730553,,
Improved,CE,2008,517,177,86,0,0,0,0.594186335,0,0,,,0,,4.225352113,10.0375,,,0,0,0,0,2.117083333,16.97412178,,
Improved,CE,2008,518,182,86,0,1.594202899,0,0,0,0,,,0,,0,0,,,0,0.533428571,0,0,2.150516667,4.278148137,,
Improved,CE,2008,519,185,86,2.211055276,0,0.489385475,0,0,0,,,0,,0,,,,0,0,0,0,0.740826667,3.441267418,,
Improved,CN,1990,1,1,12,3.18718593,0.222826087,0.166001596,0,1.696264706,0,,,0,,0,,,,0.726720961,0,0,6.283107143,0.154259524,12.43636595,17784.0033,8892.001651
Improved,CN,1990,2,1.1,12,2.075376884,0,0,0,1.233647059,0,,,0,,0.163002012,,,,0,0,0,26.22514286,0,29.69716881,112849.2415,56424.62074
Improved,CN,1990,3,2,12,12.52261307,11.15942029,0.150330117,0,0.599101604,0.083837321,,,0,,0,,,,2.276502207,0,0,0.3461,0.276531818,27.41443642,46604.54192,23302.27096
Improved,CN,1990,4,3,12,7.738693467,4.463768116,0,0,3.594609626,0,,,0,,0,,,,5.564783172,0,0,0.3461,0,21.70795438,44501.30648,22250.65324
Improved,CN,1990,7,4,12,3.409547739,0.519927536,0.996009577,0,1.387852941,0,,,0,,0,,,,1.889474498,0,0,0.819535714,0.308519048,9.330867053,16795.56069,8397.780347
Improved,CN,1990,8,5,12,3.483668342,4.827898551,0,0,0.308411765,0.206154135,,,0,,0,,,,0,0,0.07154519,6.283107143,0.617038095,15.79782322,22116.95251,11058.47625
Improved,CN,1990,9,6,12,7.879396985,14.98550725,0.45099035,0,0,0.419186603,,,0,,0,,,,0,0,0.15512282,9.3447,2.212254545,35.44715855,46081.30612,23040.65306
Improved,CN,1990,10,6.1,12,11.25628141,17.85507246,0.601320467,0,0.39940107,0,,,0,,0,,,,0,0,0.103415213,7.6142,2.765318182,40.5950088,44654.50968,22327.25484
Improved,CN,1990,12,7,12,3.113065327,0.742753623,0.166001596,0,1.542058824,0.068718045,,,0,,0.081501006,,,,2.180162882,0,0.014309038,1.91225,0.462778571,10.28359891,22212.57365,11106.28682
Improved,CN,1990,13,8,12,3.483668342,1.411231884,0.166001596,0,1.079441176,0,,,0,,0.326004024,,,,1.162753537,0,0.014309038,0.546357143,2.313892857,10.5036596,31510.97879,15755.4894
Improved,CN,1990,14,9,12,3.618090452,8.615942029,0,0.064285714,0.325470588,0.071552632,,,0,,0,,,,0.183385552,0,0.082367347,2.8685,0.53155,16.36114431,50719.54737,25359.77369
Improved,CN,1990,15,10,12,2.297738693,0.074275362,0,0.259157054,2.313088235,0,,,0,,0,,,,2.180162882,0,0,0.819535714,0.308519048,8.252476989,18155.44938,9077.724688
Improved,CN,1990,16,11,12,2.351758794,9.876811594,0,0,2.603764706,1.931921053,,,0,,0,,,,0,0,0.082367347,4.0159,0.354366667,21.21689016,55163.91442,27581.95721
Improved,CN,1990,17,12,12,2.472361809,12.1884058,0,0.385714286,0.813676471,1.216394737,,,0,,0,,,,0.183385552,0,0,5.737,0.177183333,23.17412198,18771.03881,9385.519404
Improved,CN,1990,18,13,12,3.658291457,23.27536232,0.150330117,0.11826087,0.599101604,0.922210526,,,0,,0,,,,0,0,0,5.1915,0.829595455,34.74465235,48642.51329,24321.25664
Improved,CN,1990,19,14,12,5.768844221,25.1884058,0,0,0.199700535,0.503023923,,,0,,0,,,,0,0,0,3.1149,0.276531818,35.05140629,64845.10164,32422.55082
Improved,CN,1990,20,15,12,11.53768844,11.79710145,0.751650584,0,0.39940107,0.167674641,,,0,,0,,,,0,0,0,0.3461,0,24.99961619,68748.94451,34374.47226
Improved,CN,1990,22,16,12,2.251256281,3.507246377,0,0,0.998502674,0,,,0,,0.413431498,,,,1.770612828,0,0,15.5745,0.276531818,24.79208148,93218.22635,46609.11317
Improved,CN,1990,23,17,12,3.798994975,13.71014493,0.300660234,0.591304348,0.998502674,0.083837321,,,0,,0,,,,2.782391586,0,0,2.7688,0.276531818,25.31116788,32904.51825,16452.25912
Improved,CN,1990,24,18,12,9.005025126,17.85507246,0,0,0.199700535,0.419186603,,,0,,0,,,,0.758834069,0,0.025853803,0.3461,2.212254545,30.82202714,55479.64886,27739.82443
Improved,CN,1990,25,19,12,6.753768844,31.56521739,0.300660234,0,0.39940107,0.503023923,,,0,,0,,,,0,0,0.07756141,0,0,39.59963287,77615.28043,38807.64021
Improved,CN,1990,26,20,12,3.939698492,20.08695652,0.150330117,0,1.198203209,1.592909091,,,0,,0,,,,0,0,0.284391837,2.4227,0.829595455,30.50478472,73211.48333,36605.74167
Improved,CN,1990,27,21,12,1.929648241,12.60869565,0,0,2.115558824,1.860368421,,,0,,0,,,,0,0,0.082367347,1.43425,0.354366667,20.38525515,46886.08685,23443.04342
Improved,CN,1990,28,22,12,1.386934673,13.65942029,0.245810056,0.064285714,2.603764706,1.931921053,,,0,,0,,,,0,0,0.131787755,2.00795,0.177183333,22.20905758,55522.64395,27761.32198
Improved,CN,1990,29,22.1,12,0,0,0,0,0,0,,,0,,0,,,,0,0,0,5.1633,0.354366667,5.517666667,,
Improved,CN,1990,30,23,12,3.43718593,7.985507246,0.122905028,0.128571429,1.790088235,1.216394737,,,0,,0,,,,0,0,0.148261224,1.43425,0.177183333,16.44034716,56719.19771,28359.59886
Improved,CN,1990,32,24,12,3.72361809,8.130434783,0.220670391,0.217254658,6.179294118,1.387960526,,,0,,0,,,,0,0,0.193436735,1.677625,4.6584,26.3886943,71249.47461,35624.73731
Improved,CN,1990,33,25,12,1.814070352,10.5942029,0,0.325881988,3.28275,1.714539474,,,0,,0,,,,0,0,0.072538776,0.335525,0.2588,18.39830849,31277.12443,15638.56221
Improved,CN,1990,34,26,12,8.442211055,23.27536232,0.150330117,0.11826087,1.797304813,0.922210526,,,0,,0,,,,0,0,0.361953247,0,0.829595455,35.8972284,88307.18187,44153.59093
Improved,CN,1990,37,27,12,3.628140704,22.91304348,0.441340782,0,1.351720588,0.816447368,,,0,,0,,,,0,0,0.241795918,0.67105,2.588,32.65153884,76731.11627,38365.55814
Improved,CN,1990,38,28,12,6.613065327,16.57971014,0.45099035,0,1.397903743,0.335349282,,,0,,0,,,,0,0,0,0,1.659190909,27.03620976,43798.65981,21899.3299
Improved,CN,1990,40,29,12,2.594221106,0.074275362,0,0.051831411,0.462617647,0,,,0,,0.81501006,,,,3.778948995,0,0,3.278142857,0.617038095,11.67208553,38401.16141,19200.5807
Improved,CN,1990,41,30,12,9.493180187,0.969202899,0,0.074534161,1.550977941,0,,,0,,0.619943662,,,,1.453940579,0,0,0.604460714,0.608917857,15.375158,41974.18134,20987.09067
Improved,CN,1990,44,31,12,11.29361091,5.621376812,0.072625698,0,1.723308824,0.074741541,,,0,,0,,,,0.436182174,0,0.056725364,2.1156125,0.405945238,21.80012906,68016.40268,34008.20134
Improved,CN,1990,45,32,12,9.984206748,2.519927536,0.072625698,0.099378882,2.240301471,0,,,0,,0,,,,0.581576232,0,0.018908455,1.511151786,0,17.02807681,45464.96508,22732.48254
Improved,CN,1990,47,33,12,9.728643216,1.652173913,0.335195531,0.152621118,0.683882353,0.297157895,,,0,,0,,,,0,0,0.055689796,8.10135,0,21.00671382,87597.99664,43798.99832
Improved,CN,1990,49,34,12,6.08040201,2.891304348,0,0,2.222617647,0.222868421,,,0,,0,,,,0,0,0.167069388,9.90165,0.199316667,21.68522848,26455.97875,13227.98937
Improved,CN,1990,51,35,12,9.396984925,4.268115942,0,0,0.683882353,0.222868421,,,0,,0,,,,0,0,0.037126531,8.10135,0,22.71032817,66768.36482,33384.18241
Improved,CN,1990,52,36,12,11.45728643,0.969202899,0,0.02484472,2.067970588,0,,,0,,0.265690141,,,,0,0,0,2.1156125,1.217835714,18.11844299,34968.59498,17484.29749
Improved,CN,1990,53,37,12,10.80258435,0.19384058,0,0,2.412632353,0,,,0,,0,,,,0.436182174,0,0,3.324533929,0.202972619,17.372746,28143.84853,14071.92426
Improved,CN,1990,54,38,12,12.93036612,0.969202899,0.508379888,0,1.206316176,0,,,0,,0.708507042,,,,0,0,0,3.626764286,1.014863095,20.9643995,36687.69913,18343.84956
Improved,CN,1990,55,39,12,10.06030151,1.514492754,0.837988827,0,0,0.148578947,,,0,,0,,,,0,0,0.055689796,8.10135,1.1959,21.91430183,71440.62397,35720.31198
Improved,CN,1990,56,40,12,8.838478105,2.907608696,6.608938547,0.074534161,0.344661765,0,,,0,,0.531380282,,,,0,0,0,3.626764286,2.638644048,25.57100989,31963.76236,15981.88118
Improved,CN,1990,57,41,12,11.29361091,0.19384058,0.363128492,0.099378882,0.172330882,0,,,0,,0.442816901,,,,0,0,0,1.813382143,1.826753571,16.20524236,20256.55295,10128.27648
Improved,CN,1990,59,42,12,10.85427136,0.235507246,2.648044693,0.17326087,0.237367647,0,,,0,,0.060676056,,,,0,0,0.035412245,5.284175,1.888833333,21.41754845,62325.06598,31162.53299
Improved,CN,1990,60,43,12,7.628140704,0.137681159,0,0,0.683882353,0,,,0,,0,,,,0,0,0,3.30055,1.395216667,13.14547088,25633.66822,12816.83411
Improved,CN,1990,61,44,12,9.768844221,0.235507246,1.324022346,0,0,0,,,0,,0,,,,0,1.854625,0,3.658275,1.1333,17.97457381,69741.3464,34870.6732
Improved,CN,1990,62,45,12,10.06030151,0.275362319,0.167597765,0,0,0,,,0,,0,,,,0,1.309071429,0.389828571,7.8013,1.1959,21.19936159,41338.7551,20669.37755
Improved,CN,1990,63,46,12,7.407035176,0.688405797,0.167597765,0.076310559,0.170970588,0.520026316,,,0,,0,,,,0,0,0.31557551,7.50125,4.982916667,21.83008838,38420.95555,19210.47777
Improved,CN,1990,67,47,12,2.32160804,3.717391304,3.519553073,0.305242236,0,0,,,0,,0,,,,0,0,0.259885714,2.10035,9.367883333,21.5919137,26342.13471,13171.06736
Improved,CN,1990,69,48,12,6.819095477,6.094202899,3.74301676,2.995217391,2.266867647,2.001473684,,,0,,0,,,,0,0,0.745616327,11.446575,13.42366667,49.53573185,155542.198,77771.09901
Improved,CN,1990,70,49,12,3.537688442,3.442028986,0.837988827,0.152621118,3.248441176,1.337210526,,,0,,0,,,,0,0,0.092816327,9.90165,0.797266667,23.34771207,53699.73776,26849.86888
Improved,CN,1990,71,50,12,1.502512563,12.39855072,5.61452514,2.995217391,5.829088235,1.751289474,,,0,,0,,,,0,0,0.688261224,1.635225,4.881333333,37.29600309,204009.1369,102004.5684
Improved,CN,1990,73,51,12,3.837939698,2.869565217,0.229848364,0.134126442,3.369058824,0.262344925,,,0,,0,,,,4.828887155,0,0,1.817580357,0.917203571,18.26655455,50050.35948,25025.17974
Improved,CN,1990,76,52,12,4.310301508,0,0.229848364,0.134126442,2.526794118,0.087448308,,,0,,0.076672032,,,,2.759364089,0,0,0.363516071,5.808955952,16.29702688,33082.96457,16541.48229
Improved,CN,1990,79,53,12,7.638190955,0,0.220670391,0,0.772411765,0,,,0,,0.54156338,,,,0.261505086,0,0,0,2.8468,12.28114158,17562.03246,8781.016228
Improved,CN,1990,81,54,12,6.786432161,0.652173913,4.374301676,0,0,0,,,0,,0,,,,0,0,0.204,0.366875,0.311366667,12.69514942,62967.94111,31483.97055
Improved,CN,1990,82,55,12,8.180904523,0.043478261,0.972067039,0,0.637985294,0,,,0,,0.171887324,,,,0.328917259,0,0,0,0.9341,11.2693397,15777.07558,7888.537789
Improved,CN,1990,83,56,12,9.110552764,0.043478261,0,0.274372671,0.212661765,0,,,0,,0.057295775,,,,0.328917259,0,0,0.366875,0,10.39415349,17046.41173,8523.205865
Improved,CN,1990,84,57,12,8.645728643,0.130434783,0,0.274372671,0.212661765,0,,,0,,0.286478873,,,,0,0,0,2.935,0.311366667,12.7960434,19705.90684,9852.953419
Improved,CN,1990,86,58,12,3.346733668,0,0,0,2.339279412,0,,,1.1369241,,0.171887324,,,,0,0,0,0.73375,11.52056667,19.24914117,17516.71847,8758.359233
Improved,CN,1990,87,59,12,7.155778894,0.630434783,0.452513966,0.19621118,0.185897059,0,,,0,,0,,,,0,0,0,0.323975,0.239433333,9.184244216,6796.34072,3398.17036
Improved,CN,1990,89,60,12,6.673366834,9.456521739,0.226256983,1.471583851,0,0.07925,,,0,,0,,,,0,0.758464286,0.111755102,0.971925,0,19.7491238,30413.65064,15206.82532
Improved,CN,1990,91,61,12,4.74120603,0,0,0,0.212661765,0,,,0,,0.343774648,,,,0,0,0,1.834375,5.6046,12.73661744,15156.57476,7578.287378
Improved,CN,1990,92,62,12,2.814070352,8.615942029,0.452513966,0.68673913,0,0,,,0,,0,,,,0,4.803607143,0,0.323975,0.478866667,18.17571429,13813.54286,6906.771429
Improved,CN,1990,94,63,12,3.055276382,12.81884058,0,0.78484472,0,0.07925,,,0,,0,,,,0,0,0.067053061,3.563725,2.1549,22.52388974,60138.78561,30069.39281
Improved,CN,1990,95,64,12,5.708542714,1.050724638,1.357541899,0,0.185897059,0.1585,,,0,,0,,,,0,2.528214286,0.111755102,4.211675,1.197166667,16.51001736,19646.92066,9823.460332
Improved,CN,1990,96,65,12,9.575376884,0.173913043,2.916201117,0,0,0.088144737,,,0,,0,,,,0,0.519428571,0.145714286,1.834375,2.179566667,17.43272031,29809.95172,14904.97586
Improved,CN,1990,98,66,12,1.366834171,1.891304348,0.905027933,0,0,0,,,0,,0,,,,0,0,0.044702041,6.155525,0,10.36339349,12643.34006,6321.67003
Improved,CN,1990,99,67,12,7.035175879,1.456521739,0.18575419,0,0,0,,,0,,0,,,,0,0,0,2.2533875,0,10.93083931,7979.512695,3989.756348
Improved,CN,1990,100,68,12,7.56281407,0.242753623,0.37150838,0,0.369220588,0,,,0,,0.080007042,,,,0,0,0,1.931475,0,10.5577787,9924.311982,4962.155991
Improved,CN,1990,101,69,12,0.879396985,0.72826087,0.55726257,0,0,0,,,0,,0,,,,0,1.342053571,0.066073469,1.931475,0.47195,5.976472465,7112.002234,3556.001117
Improved,CN,1990,102,70,12,6.243718593,0.485507246,0,0,0.184610294,0,,,0.274331317,,0,,,,0.238095853,0,0,2.8972125,3.539625,13.8631008,20240.12717,10120.06359
Improved,CN,1990,103,71,12,6.507537688,1.213768116,0.18575419,0.096226708,0.184610294,0,,,2.194650533,,0,,,,0,0,0,0.9657375,1.41585,12.76413503,29485.15192,14742.57596
Improved,CN,1990,104,72,12,7.738693467,0,0.18575419,0,0.184610294,0,,,0,,0.320028169,,,,0.71428756,0,0,1.28765,0,10.43102368,34735.30886,17367.65443
Improved,CN,1990,105,73,12,4.836683417,0.485507246,0.55726257,0,0,0,,,0,,0,,,,0,4.026160714,0.506563265,0,1.8878,12.29997721,24107.95534,12053.97767
Improved,CN,1990,106,74,12,5.540201005,0.242753623,0.92877095,0,0.184610294,0,,,10.42459003,,0.240021127,,,,0.238095853,0,0,0.3219125,1.651825,19.77278039,30647.8096,15323.9048
Improved,CN,1990,108,75,12,6.301507538,13.30434783,2.206703911,0.325881988,0.579308824,1.061381579,,,0,,0,,,,0,0,0.870465306,2.01315,1.294,27.95674697,143138.5445,71569.27224
Improved,CN,1990,109,76,12,5.060301508,13.30434783,0.662011173,0,1.351720588,2.612631579,,,0,,0,,,,0,0,0.580310204,0,2.3292,25.90052288,154885.1268,77442.56341
Improved,CN,1990,110,77,12,9.070351759,4.927536232,1.544692737,1.194900621,0,0.081644737,,,0,,0,,,,0,0,0.290155102,1.677625,0.2588,19.04570619,116559.7219,58279.86094
Improved,CN,1990,112,78,12,9.989949749,9.884057971,0.45099035,0,0.998502674,1.676746411,,,0,,0,,,,0,0,0.051707607,0.3461,0.276531818,23.67458658,87122.47862,43561.23931
Improved,CN,1990,113,79,12,7.829145729,2.710144928,0.662011173,0,2.124132353,0.734802632,,,0,,0,,,,0,0,0.072538776,1.006575,0.7764,15.91575059,42813.36909,21406.68454
Improved,CN,1990,115,80,12,12.31658291,2.710144928,0.441340782,0.108627329,0.193102941,0,,,0,,0,,,,0,0,0.096718367,1.006575,0,16.87309226,79134.80271,39567.40135
Improved,CN,1990,116,81,12,6.834170854,0.210144928,2.036312849,0,0,0,,,0,,0,,,,0,0.505642857,0.111755102,2.915775,0.239433333,12.85323492,14395.62311,7197.811557
Improved,CN,1990,117,82,12,2.331658291,0.84057971,3.846368715,0,0,0,,,0,,0,,,,0,2.781035714,0.357616327,1.619875,0.957733333,12.73486709,37949.90393,18974.95197
Improved,CN,1990,121,83,12,0,0.210144928,1.349162011,0,0,0.229539474,,,0,,0,,,,0,5.30925,0.445746939,0.310775,2.8249,10.67951835,82232.2913,41116.14565
Improved,CN,1990,123,84,12,0,0,19.65083799,0,0,0,,,0,,0,,,,0,3.5395,1.605942857,1.635225,43.932,70.36350585,182945.1152,91472.5576
Improved,CN,1990,125,85,12,6.592964824,0,0.67877095,0,0,0.23775,,,0,,0,,,,0,1.264107143,0,3.563725,10.29563333,22.63295125,44360.58445,22180.29223
Improved,CN,1990,126,86,12,12.90452261,0.235507246,3.089385475,0,1.424205882,0,,,0,,0.060676056,,,,0,0,0,8.94245,1.1333,27.79004727,71976.22244,35988.11122
Improved,CN,1990,127,87,12,11.69849246,0,0,0,0.237367647,0,,,0,,0.121352113,,,,0,0,0,9.7554,0,21.81261222,63256.57544,31628.28772
